ExpenseID,IL_originalcategory,IL_originalamt,IL_agency,ID,ExpenseID2,Year,EXP_TYPE,EXP_AMT,State
1756,"Crime, gang, abuse prevention or intervention programs",0,Coal City Police Department,3063,1756,2019,community programs,0,IL
1757,"Crime, gang, abuse prevention or intervention programs",1020,Coles County Sheriff Office,3064,1757,2019,community programs,1020,IL
1758,"Crime, gang, abuse prevention or intervention programs",0,Coles County State's Attorney's Office,3065,1758,2019,community programs,0,IL
1759,"Crime, gang, abuse prevention or intervention programs",0,Collinsville Police Deparment,3066,1759,2019,community programs,0,IL
1760,"Crime, gang, abuse prevention or intervention programs",1895,Columbia Police Department,3067,1760,2019,community programs,1895,IL
1761,"Crime, gang, abuse prevention or intervention programs",175471.96,Cook County Sheriffs Police Department,3068,1761,2019,community programs,175472,IL
1762,"Crime, gang, abuse prevention or intervention programs",0,Cook County State's Attorney Forfeiture Unit,3069,1762,2019,community programs,0,IL
1763,"Crime, gang, abuse prevention or intervention programs",984,Countryside Police Department,3070,1763,2019,community programs,984,IL
1764,"Crime, gang, abuse prevention or intervention programs",0,Crest Hill Police Department,3071,1764,2019,community programs,0,IL
1765,"Crime, gang, abuse prevention or intervention programs",0,Crystal Lake Police Department,3072,1765,2019,community programs,0,IL
1766,"Crime, gang, abuse prevention or intervention programs",0,Cumberland County State's Attorney's Office,3073,1766,2019,community programs,0,IL
1767,"Crime, gang, abuse prevention or intervention programs",5160,Decatur Police Department,3074,1767,2019,community programs,5160,IL
1768,"Crime, gang, abuse prevention or intervention programs",0,Deerfield Police Department,3075,1768,2019,community programs,0,IL
1769,"Crime, gang, abuse prevention or intervention programs",0,DEKALB COUNTY STATE'S ATTORNEY'S OFFICE,3076,1769,2019,community programs,0,IL
1770,"Crime, gang, abuse prevention or intervention programs",0,Dolton Police Department,3077,1770,2019,community programs,0,IL
1771,"Crime, gang, abuse prevention or intervention programs",0,Douglas County Sheriffs Office,3078,1771,2019,community programs,0,IL
1772,"Crime, gang, abuse prevention or intervention programs",0,Downers Grove Police Department,3079,1772,2019,community programs,0,IL
1773,"Crime, gang, abuse prevention or intervention programs",0,Du Quoin Police Department,3080,1773,2019,community programs,0,IL
1774,"Crime, gang, abuse prevention or intervention programs",0,DuPage County Sheriff's Office,3081,1774,2019,community programs,0,IL
1775,"Crime, gang, abuse prevention or intervention programs",2773.19,DuPage County State's Attorney's Office,3082,1775,2019,community programs,2773,IL
1776,"Crime, gang, abuse prevention or intervention programs",0,DuPage Metropolitan Enforcement Group,3083,1776,2019,community programs,0,IL
1777,"Crime, gang, abuse prevention or intervention programs",1500,Dwight Police Department,3084,1777,2019,community programs,1500,IL
1778,"Crime, gang, abuse prevention or intervention programs",0,EAST DUNDEE POLICE DEPARTMENT,3085,1778,2019,community programs,0,IL
1779,"Crime, gang, abuse prevention or intervention programs",0,East Peoria Police Department,3086,1779,2019,community programs,0,IL
1780,"Crime, gang, abuse prevention or intervention programs",0,Edwardsville Police Department,3087,1780,2019,community programs,0,IL
1781,"Crime, gang, abuse prevention or intervention programs",0,EFFINGHAM COUNTY SHERIFF'S OFFICE,3088,1781,2019,community programs,0,IL
1782,"Crime, gang, abuse prevention or intervention programs",0,Effingham County State's Attorney's Office,3089,1782,2019,community programs,0,IL
1783,"Crime, gang, abuse prevention or intervention programs",0,Effingham Police Department,3090,1783,2019,community programs,0,IL
1784,"Crime, gang, abuse prevention or intervention programs",0,Elburn Police Department,3091,1784,2019,community programs,0,IL
1785,"Crime, gang, abuse prevention or intervention programs",0,Elk Grove Village Police Department,3092,1785,2019,community programs,0,IL
1786,"Crime, gang, abuse prevention or intervention programs",0,Elmhurst Police Department,3093,1786,2019,community programs,0,IL
1787,"Crime, gang, abuse prevention or intervention programs",0,Elwood Police Department,3094,1787,2019,community programs,0,IL
1788,"Crime, gang, abuse prevention or intervention programs",0,Evanston Police Department,3095,1788,2019,community programs,0,IL
1789,"Crime, gang, abuse prevention or intervention programs",0,Evergreen Park Police Department,3096,1789,2019,community programs,0,IL
1790,"Crime, gang, abuse prevention or intervention programs",0,Fairbury Police Department,3097,1790,2019,community programs,0,IL
1791,"Crime, gang, abuse prevention or intervention programs",0,Fairview Heights Police Department,3098,1791,2019,community programs,0,IL
1792,"Crime, gang, abuse prevention or intervention programs",0,Fayette County State's Attorneys Office,3099,1792,2019,community programs,0,IL
1793,"Crime, gang, abuse prevention or intervention programs",0,Flora Police Department,3100,1793,2019,community programs,0,IL
1794,"Crime, gang, abuse prevention or intervention programs",0,Ford County Sheriff's Office,3101,1794,2019,community programs,0,IL
1795,"Crime, gang, abuse prevention or intervention programs",0,Ford County State's Attorney's Office,3102,1795,2019,community programs,0,IL
1796,"Crime, gang, abuse prevention or intervention programs",0,Forest Park Police Department,3103,1796,2019,community programs,0,IL
1797,"Crime, gang, abuse prevention or intervention programs",0,Fox Lake Police Department,3104,1797,2019,community programs,0,IL
1798,"Crime, gang, abuse prevention or intervention programs",0,Fox Valley Park District Police Department,3105,1798,2019,community programs,0,IL
1799,"Crime, gang, abuse prevention or intervention programs",0,Frankfort Police Department,3106,1799,2019,community programs,0,IL
17100,"Crime, gang, abuse prevention or intervention programs",0,Franklin Count Sheriffs Office,3107,17100,2019,community programs,0,IL
17101,"Crime, gang, abuse prevention or intervention programs",0,Franklin Park Police Department,3108,17101,2019,community programs,0,IL
17102,"Crime, gang, abuse prevention or intervention programs",0,Freeport Police Department,3109,17102,2019,community programs,0,IL
17103,"Crime, gang, abuse prevention or intervention programs",0,Fulton County Sheriffs Office,3110,17103,2019,community programs,0,IL
17104,"Crime, gang, abuse prevention or intervention programs",250,Fulton County State's Attorney's Office,3111,17104,2019,community programs,250,IL
17105,"Crime, gang, abuse prevention or intervention programs",0,Galesburg Police Department,3112,17105,2019,community programs,0,IL
17106,"Crime, gang, abuse prevention or intervention programs",0,Geneva Police Department,3113,17106,2019,community programs,0,IL
17107,"Crime, gang, abuse prevention or intervention programs",0,Genoa Police Department,3114,17107,2019,community programs,0,IL
17108,"Crime, gang, abuse prevention or intervention programs",0,Glen Carbon Police Department,3115,17108,2019,community programs,0,IL
17109,"Crime, gang, abuse prevention or intervention programs",2899.94,Glen Ellyn Police Department,3116,17109,2019,community programs,2900,IL
17110,"Crime, gang, abuse prevention or intervention programs",0,Glencoe,3117,17110,2019,community programs,0,IL
17111,"Crime, gang, abuse prevention or intervention programs",0,Glendale Heights Police Department,3118,17111,2019,community programs,0,IL
17112,"Crime, gang, abuse prevention or intervention programs",0,Glenview Police Department,3119,17112,2019,community programs,0,IL
17113,"Crime, gang, abuse prevention or intervention programs",0,Glenwood Police Department,3120,17113,2019,community programs,0,IL
17114,"Crime, gang, abuse prevention or intervention programs",0,Granite City Police Department,3121,17114,2019,community programs,0,IL
17115,"Crime, gang, abuse prevention or intervention programs",0,Greenfield Police Department,3122,17115,2019,community programs,0,IL
17116,"Crime, gang, abuse prevention or intervention programs",0,GREENUP POLICE DEPARTMENT,3123,17116,2019,community programs,0,IL
17117,"Crime, gang, abuse prevention or intervention programs",0,Greenville Police Department,3124,17117,2019,community programs,0,IL
17118,"Crime, gang, abuse prevention or intervention programs",0,Grundy County State's Attorney Office,3125,17118,2019,community programs,0,IL
17119,"Crime, gang, abuse prevention or intervention programs",0,Gurnee Police Department,3126,17119,2019,community programs,0,IL
17120,"Crime, gang, abuse prevention or intervention programs",0,Hanover Park Police Department,3127,17120,2019,community programs,0,IL
17121,"Crime, gang, abuse prevention or intervention programs",0,Hardin County State's Attorney's Office,3128,17121,2019,community programs,0,IL
17122,"Crime, gang, abuse prevention or intervention programs",0,HARVARD POLICE DEPARTMENT,3129,17122,2019,community programs,0,IL
17123,"Crime, gang, abuse prevention or intervention programs",0,Harwood Heights Police Department,3130,17123,2019,community programs,0,IL
17124,"Crime, gang, abuse prevention or intervention programs",0,Hawthorn Woods Police Department,3131,17124,2019,community programs,0,IL
17125,"Crime, gang, abuse prevention or intervention programs",0,Henderson County Sheriff,3132,17125,2019,community programs,0,IL
17126,"Crime, gang, abuse prevention or intervention programs",0,Henry County Sheriff's Office,3133,17126,2019,community programs,0,IL
17127,"Crime, gang, abuse prevention or intervention programs",0,Henry County State's Attorney's Office,3134,17127,2019,community programs,0,IL
17128,"Crime, gang, abuse prevention or intervention programs",0,Herrin Police Department,3135,17128,2019,community programs,0,IL
17129,"Crime, gang, abuse prevention or intervention programs",3384.68,Hickory Hills Police Department,3136,17129,2019,community programs,3385,IL
17130,"Crime, gang, abuse prevention or intervention programs",0,Highland Park Police Department,3137,17130,2019,community programs,0,IL
17131,"Crime, gang, abuse prevention or intervention programs",0,Highwood Police Department,3138,17131,2019,community programs,0,IL
17132,"Crime, gang, abuse prevention or intervention programs",0,Hometown Police Department,3139,17132,2019,community programs,0,IL
17133,"Crime, gang, abuse prevention or intervention programs",0,Illinois Attorney General's Office,3140,17133,2019,community programs,0,IL
17134,"Crime, gang, abuse prevention or intervention programs",0,Illinois Department of Natural Resources- Law Enforcement,3141,17134,2019,community programs,0,IL
17135,"Crime, gang, abuse prevention or intervention programs",0,Illinois State Police - Asset Forfeiture Section,3142,17135,2019,community programs,0,IL
17136,"Crime, gang, abuse prevention or intervention programs",0,Illinois State Police -- Investigations,3143,17136,2019,community programs,0,IL
17137,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 10 Pesotum",3144,17137,2019,community programs,0,IL
17138,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 11",3145,17138,2019,community programs,0,IL
17139,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 12",3146,17139,2019,community programs,0,IL
17140,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 15",3147,17140,2019,community programs,0,IL
17141,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 16",3148,17141,2019,community programs,0,IL
17142,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 17",3149,17142,2019,community programs,0,IL
17143,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 18",3150,17143,2019,community programs,0,IL
17144,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 19",3151,17144,2019,community programs,0,IL
17145,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 2",3152,17145,2019,community programs,0,IL
17146,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 20",3153,17146,2019,community programs,0,IL
17147,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 21",3154,17147,2019,community programs,0,IL
17148,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 22",3155,17148,2019,community programs,0,IL
17149,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 5",3156,17149,2019,community programs,0,IL
17150,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 6",3157,17150,2019,community programs,0,IL
17151,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 7",3158,17151,2019,community programs,0,IL
17152,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 8",3159,17152,2019,community programs,0,IL
17153,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District 9",3160,17153,2019,community programs,0,IL
17154,"Crime, gang, abuse prevention or intervention programs",0,"Illinois State Police, District Chicago",3161,17154,2019,community programs,0,IL
17155,"Crime, gang, abuse prevention or intervention programs",0,Illinois State University Police Department,3162,17155,2019,community programs,0,IL
17156,"Crime, gang, abuse prevention or intervention programs",0,Iroquois County Sheriffs Department,3163,17156,2019,community programs,0,IL
17157,"Crime, gang, abuse prevention or intervention programs",0,Itasca Police Department,3164,17157,2019,community programs,0,IL
17158,"Crime, gang, abuse prevention or intervention programs",3879.02,Jackson County Sheriffs Office,3165,17158,2019,community programs,3879,IL
17159,"Crime, gang, abuse prevention or intervention programs",0,Jackson County State's Attorney's Office,3166,17159,2019,community programs,0,IL
17160,"Crime, gang, abuse prevention or intervention programs",0,Jacksonville Police Department,3167,17160,2019,community programs,0,IL
17161,"Crime, gang, abuse prevention or intervention programs",0,Jasper County State's Attorney's Office,3168,17161,2019,community programs,0,IL
17162,"Crime, gang, abuse prevention or intervention programs",0,Jefferson County Sheriffs Office,3169,17162,2019,community programs,0,IL
17163,"Crime, gang, abuse prevention or intervention programs",0,Jo Daviess County Sheriffs Office,3170,17163,2019,community programs,0,IL
17164,"Crime, gang, abuse prevention or intervention programs",0,Joliet Metropolitan Area Narcotics Squad,3171,17164,2019,community programs,0,IL
17165,"Crime, gang, abuse prevention or intervention programs",0,Joliet Police Department,3172,17165,2019,community programs,0,IL
17166,"Crime, gang, abuse prevention or intervention programs",1011,Kane County Sheriff,3173,17166,2019,community programs,1011,IL
17167,"Crime, gang, abuse prevention or intervention programs",0,Kankakee Area Metropolitan Enforcement Group,3174,17167,2019,community programs,0,IL
17168,"Crime, gang, abuse prevention or intervention programs",0,Kankakee City Police,3175,17168,2019,community programs,0,IL
17169,"Crime, gang, abuse prevention or intervention programs",0,Kankakee County Sheriff's Department,3176,17169,2019,community programs,0,IL
17170,"Crime, gang, abuse prevention or intervention programs",0,Kankakee County State's Attorney's Office,3177,17170,2019,community programs,0,IL
17171,"Crime, gang, abuse prevention or intervention programs",0,Kendall County State's Attorney's Office,3178,17171,2019,community programs,0,IL
17172,"Crime, gang, abuse prevention or intervention programs",0,KNOX COUNTY STATE'S ATTORNEY OFFICE,3179,17172,2019,community programs,0,IL
17173,"Crime, gang, abuse prevention or intervention programs",0,Lake County Forest Preserve Ranger Police,3180,17173,2019,community programs,0,IL
17174,"Crime, gang, abuse prevention or intervention programs",0,Lake County MEG,3181,17174,2019,community programs,0,IL
17175,"Crime, gang, abuse prevention or intervention programs",0,LAKE County Sheriff's Office WAUKEGAN,3182,17175,2019,community programs,0,IL
17176,"Crime, gang, abuse prevention or intervention programs",1500,Lake County States Attorney,3183,17176,2019,community programs,1500,IL
17177,"Crime, gang, abuse prevention or intervention programs",0,Lake Forest Police Department,3184,17177,2019,community programs,0,IL
17178,"Crime, gang, abuse prevention or intervention programs",261,Lake in the Hills Police Department,3185,17178,2019,community programs,261,IL
17179,"Crime, gang, abuse prevention or intervention programs",0,LAKE VILLA POLICE DEPARTMENT,3186,17179,2019,community programs,0,IL
17180,"Crime, gang, abuse prevention or intervention programs",0,Lake Zurich Police Department,3187,17180,2019,community programs,0,IL
17181,"Crime, gang, abuse prevention or intervention programs",0,Lakemoor Police Department,3188,17181,2019,community programs,0,IL
17182,"Crime, gang, abuse prevention or intervention programs",0,Lansing Police Department,3189,17182,2019,community programs,0,IL
17183,"Crime, gang, abuse prevention or intervention programs",659,LaSalle Police Department,3190,17183,2019,community programs,659,IL
17184,"Crime, gang, abuse prevention or intervention programs",0,Lawrence County Sheriff's Office,3191,17184,2019,community programs,0,IL
17185,"Crime, gang, abuse prevention or intervention programs",0,Lee County State's Attorney's Office,3192,17185,2019,community programs,0,IL
17186,"Crime, gang, abuse prevention or intervention programs",0,Lemont Police Department,3193,17186,2019,community programs,0,IL
17187,"Crime, gang, abuse prevention or intervention programs",0,Libertyville Police Department,3194,17187,2019,community programs,0,IL
17188,"Crime, gang, abuse prevention or intervention programs",0,Lincoln Police Department,3195,17188,2019,community programs,0,IL
17189,"Crime, gang, abuse prevention or intervention programs",0,Lincolnshire Police Department,3196,17189,2019,community programs,0,IL
17190,"Crime, gang, abuse prevention or intervention programs",0,Lincolnwood,3197,17190,2019,community programs,0,IL
17191,"Crime, gang, abuse prevention or intervention programs",0,Litchfield Police Department,3198,17191,2019,community programs,0,IL
17192,"Crime, gang, abuse prevention or intervention programs",500,Livingston County State's Attorney's Office,3199,17192,2019,community programs,500,IL
17193,"Crime, gang, abuse prevention or intervention programs",0,Lockport Police Department,3200,17193,2019,community programs,0,IL
17194,"Crime, gang, abuse prevention or intervention programs",0,Logan County State's Attorney's Office,3201,17194,2019,community programs,0,IL
17195,"Crime, gang, abuse prevention or intervention programs",0,Lombard Police Department,3202,17195,2019,community programs,0,IL
17196,"Crime, gang, abuse prevention or intervention programs",0,Loves Park Police Department,3203,17196,2019,community programs,0,IL
17197,"Crime, gang, abuse prevention or intervention programs",0,lroquois County State's Attorney's Office,3204,17197,2019,community programs,0,IL
17198,"Crime, gang, abuse prevention or intervention programs",0,Macon County Sheriffs Office,3205,17198,2019,community programs,0,IL
17199,"Crime, gang, abuse prevention or intervention programs",0,Macon County State's Attorney's Office,3206,17199,2019,community programs,0,IL
17200,"Crime, gang, abuse prevention or intervention programs",0,Macoupin County Sheriff's Department,3207,17200,2019,community programs,0,IL
17201,"Crime, gang, abuse prevention or intervention programs",0,Macoupin County State's Attorney's Office,3208,17201,2019,community programs,0,IL
17202,"Crime, gang, abuse prevention or intervention programs",0,Madison County Sheriffs Office,3209,17202,2019,community programs,0,IL
17203,"Crime, gang, abuse prevention or intervention programs",8659,Madison County State's Attorney's Office,3210,17203,2019,community programs,8659,IL
17204,"Crime, gang, abuse prevention or intervention programs",0,Madison Police Department,3211,17204,2019,community programs,0,IL
17205,"Crime, gang, abuse prevention or intervention programs",0,Manteno Police Department,3212,17205,2019,community programs,0,IL
17206,"Crime, gang, abuse prevention or intervention programs",0,Marion County State's Attorney's Office,3213,17206,2019,community programs,0,IL
17207,"Crime, gang, abuse prevention or intervention programs",0,Marion Police Department,3214,17207,2019,community programs,0,IL
17208,"Crime, gang, abuse prevention or intervention programs",0,Marshall Police Department,3215,17208,2019,community programs,0,IL
17209,"Crime, gang, abuse prevention or intervention programs",0,Maryville Police Department,3216,17209,2019,community programs,0,IL
17210,"Crime, gang, abuse prevention or intervention programs",0,Massac County Sheriffs Office,3217,17210,2019,community programs,0,IL
17211,"Crime, gang, abuse prevention or intervention programs",0,Matteson Police Department,3218,17211,2019,community programs,0,IL
17212,"Crime, gang, abuse prevention or intervention programs",0,Mattoon Police Department,3219,17212,2019,community programs,0,IL
17213,"Crime, gang, abuse prevention or intervention programs",795,Maywood Police,3220,17213,2019,community programs,795,IL
17214,"Crime, gang, abuse prevention or intervention programs",0,McDonough County State's Attorney's Office,3221,17214,2019,community programs,0,IL
17215,"Crime, gang, abuse prevention or intervention programs",0,McHenry County Sheriffs Office,3222,17215,2019,community programs,0,IL
17216,"Crime, gang, abuse prevention or intervention programs",150000,McHenry County State's Attorney,3223,17216,2019,community programs,150000,IL
17217,"Crime, gang, abuse prevention or intervention programs",0,McHenry Police Department,3224,17217,2019,community programs,0,IL
17218,"Crime, gang, abuse prevention or intervention programs",0,McLean County State's Attorney's Office,3225,17218,2019,community programs,0,IL
17219,"Crime, gang, abuse prevention or intervention programs",0,McLean Police Department,3226,17219,2019,community programs,0,IL
17220,"Crime, gang, abuse prevention or intervention programs",0,McLeansboro Police Department,3227,17220,2019,community programs,0,IL
17221,"Crime, gang, abuse prevention or intervention programs",0,Melrose Park Police Department,3228,17221,2019,community programs,0,IL
17222,"Crime, gang, abuse prevention or intervention programs",0,Menard County State's Attorney's Office,3229,17222,2019,community programs,0,IL
17223,"Crime, gang, abuse prevention or intervention programs",0,Mendota Police Department,3230,17223,2019,community programs,0,IL
17224,"Crime, gang, abuse prevention or intervention programs",0,Mercer County State's Attorney's Office,3231,17224,2019,community programs,0,IL
17225,"Crime, gang, abuse prevention or intervention programs",0,Metropolitan Enforcement Group of Southwestern Illinois,3232,17225,2019,community programs,0,IL
17226,"Crime, gang, abuse prevention or intervention programs",0,Midlothian,3233,17226,2019,community programs,0,IL
17227,"Crime, gang, abuse prevention or intervention programs",0,Milan Police Department,3234,17227,2019,community programs,0,IL
17228,"Crime, gang, abuse prevention or intervention programs",0,MINIER POLICE DEPARTMENT,3235,17228,2019,community programs,0,IL
17229,"Crime, gang, abuse prevention or intervention programs",0,Minooka Police Department,3236,17229,2019,community programs,0,IL
17230,"Crime, gang, abuse prevention or intervention programs",0,Mokena Police Department,3237,17230,2019,community programs,0,IL
17231,"Crime, gang, abuse prevention or intervention programs",0,Moline Police Department,3238,17231,2019,community programs,0,IL
17232,"Crime, gang, abuse prevention or intervention programs",0,Monee Police Department,3239,17232,2019,community programs,0,IL
17233,"Crime, gang, abuse prevention or intervention programs",0,Montgomery Police Department,3240,17233,2019,community programs,0,IL
17234,"Crime, gang, abuse prevention or intervention programs",0,Morgan County Sheriffs Office,3241,17234,2019,community programs,0,IL
17235,"Crime, gang, abuse prevention or intervention programs",0,Morgan County State's Attorney's Office,3242,17235,2019,community programs,0,IL
17236,"Crime, gang, abuse prevention or intervention programs",0,Morris Police Department,3243,17236,2019,community programs,0,IL
17237,"Crime, gang, abuse prevention or intervention programs",23330,Morton Grove Police Department,3244,17237,2019,community programs,23330,IL
17238,"Crime, gang, abuse prevention or intervention programs",0,Moultrie County States Attorney Office,3245,17238,2019,community programs,0,IL
17239,"Crime, gang, abuse prevention or intervention programs",0,Mount Prospect Police Department,3246,17239,2019,community programs,0,IL
17240,"Crime, gang, abuse prevention or intervention programs",0,Mt. Vernon Police Department,3247,17240,2019,community programs,0,IL
17241,"Crime, gang, abuse prevention or intervention programs",0,Mt. Zion Police Department,3248,17241,2019,community programs,0,IL
17242,"Crime, gang, abuse prevention or intervention programs",0,MULTI-COUNTY NARCOTICS ENFORCEMENT GROUP (PMEG),3249,17242,2019,community programs,0,IL
17243,"Crime, gang, abuse prevention or intervention programs",0,Mundelein Police Department,3250,17243,2019,community programs,0,IL
17244,"Crime, gang, abuse prevention or intervention programs",0,Murphysboro Police Department,3251,17244,2019,community programs,0,IL
17245,"Crime, gang, abuse prevention or intervention programs",0,Murrayville-Woodson Police Department,3252,17245,2019,community programs,0,IL
